STATUS | wrapper  | 2015/06/05 09:57:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/06/05 09:57:48 | Java Service Wrapper Community Edition 32-bit 3.5.17
STATUS | wrapper  | 2015/06/05 09:57:48 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2015/06/05 09:57:48 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2015/06/05 09:57:48 | 
STATUS | wrapper  | 2015/06/05 09:57:48 | Launching a JVM...
INFO   | jvm 1    | 2015/06/05 09:57:49 | WrapperManager: Initializing...
INFO   | jvm 1    | 2015/06/05 09:57:51 | 程序打开正常
INFO   | jvm 1    | 2015/06/05 09:57:51 | 进入启动倒计时 1秒
INFO   | jvm 1    | 2015/06/05 09:57:53 | 数据主目录检查正常
INFO   | jvm 1    | 2015/06/05 09:57:53 | 数据库连接检查正常
INFO   | jvm 1    | 2015/06/05 09:57:53 | 2015-6-5 9:57:53 com.mchange.v2.log.MLog <clinit>
INFO   | jvm 1    | 2015/06/05 09:57:53 | 信息: MLog clients using java 1.4+ standard logging.
INFO   | jvm 1    | 2015/06/05 09:57:53 | 2015-6-5 9:57:53 com.mchange.v2.c3p0.C3P0Registry banner
INFO   | jvm 1    | 2015/06/05 09:57:53 | 信息: Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
INFO   | jvm 1    | 2015/06/05 09:57:53 | 服务启动正常
INFO   | jvm 1    | 2015/06/05 09:57:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 09:57:55 | 内存情况 已用内存/可用内存/最大内存 17.95 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:02:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:02:55 | 内存情况 已用内存/可用内存/最大内存 19.87 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:07:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:07:55 | 内存情况 已用内存/可用内存/最大内存 21.93 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:12:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:12:55 | 内存情况 已用内存/可用内存/最大内存 20.45 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:17:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:17:55 | 内存情况 已用内存/可用内存/最大内存 23.33 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:22:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:22:55 | 内存情况 已用内存/可用内存/最大内存 17.33 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:27:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:27:55 | 内存情况 已用内存/可用内存/最大内存 17.97 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:32:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:32:55 | 内存情况 已用内存/可用内存/最大内存 24.71 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:37:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:37:55 | 内存情况 已用内存/可用内存/最大内存 23.57 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:42:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:42:55 | 内存情况 已用内存/可用内存/最大内存 24.51 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:43:31 | Exception in thread "Thread-10" java.lang.NullPointerException
INFO   | jvm 1    | 2015/06/05 10:43:31 | 	at com.xiangxun.control.ModeFileServer.forderList(ModeFileServer.java:188)
INFO   | jvm 1    | 2015/06/05 10:43:31 | 	at com.xiangxun.control.ModeFileServer$1.run(ModeFileServer.java:125)
INFO   | jvm 1    | 2015/06/05 10:43:43 | Exception in thread "Thread-5" java.lang.NullPointerException
INFO   | jvm 1    | 2015/06/05 10:43:43 | 	at com.xiangxun.control.ModeFileServer.run(ModeFileServer.java:179)
INFO   | jvm 1    | 2015/06/05 10:47:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:47:55 | 内存情况 已用内存/可用内存/最大内存 25.03 MB/127.06 MB/508.06 MB
